Player,Attempt,Completed,Sucpct,Totaldist,Progdist,LongPass,LongComp,LongPct,MediPass,MediComp,MediPct,ShortPass,ShortComp,ShortPct,Keypass,Finalthird,Penalty,CrossPena,Progcount
Frenkie de Jong,690,620,89.9,10671,3197,77,65,84.4,257,242,94.2,331,299,90.3,6,63,10,0,50
Lionel Messi,576,464,80.6,7614,2540,81,46,56.8,185,152,82.2,278,250,89.9,22,65,31,3,69
Gerard Piqué,553,519,93.9,10623,2692,78,68,87.2,300,288,96.0,163,154,94.5,1,23,1,0,15
Jordi Alba,611,520,85.1,8234,2751,59,39,66.1,215,183,85.1,312,288,92.3,10,28,13,2,42
Antoine Griezmann,266,235,88.3,3485,640,14,13,92.9,91,78,85.7,148,138,93.2,6,13,6,0,18
Clément Lenglet,482,443,91.9,8584,3289,79,63,79.7,222,211,95.0,172,163,94.8,1,30,2,0,23
Sergi Roberto,531,480,90.4,7421,2331,31,23,74.2,202,188,93.1,280,261,93.2,10,38,10,0,31
Sergio Busquets,556,498,89.6,8656,2193,64,48,75.0,230,211,91.7,237,223,94.1,6,43,4,0,28
Neto,191,170,89.0,3838,2097,58,39,67.2,85,84,98.8,45,45,100.0,0,1,0,0,0
Ansu Fati,205,174,84.9,2150,459,5,3,60.0,47,40,85.1,137,122,89.1,9,3,7,0,11
Pedri,275,232,84.4,3861,536,26,18,69.2,106,91,85.8,132,117,88.6,7,11,5,0,13
Philippe Coutinho,308,261,84.7,4009,873,31,17,54.8,108,93,86.1,162,149,92.0,3,25,7,1,29
Ousmane Dembélé,171,132,77.2,2092,471,14,8,57.1,64,50,78.1,86,73,84.9,3,6,4,1,11
Sergiño Dest,243,214,88.1,3133,1165,15,8,53.3,71,66,93.0,147,136,92.5,4,15,3,0,11
Marc-André ter Stegen,102,97,95.1,2550,1560,34,29,85.3,51,51,100.0,16,16,100.0,0,1,0,0,1
Miralem Pjanić,206,183,88.8,2934,741,12,10,83.3,85,76,89.4,99,92,92.9,4,10,5,0,15
Ronald Araújo,76,67,88.2,1486,395,19,12,63.2,36,36,100.0,20,19,95.0,0,5,0,0,0
Martin Braithwaite,23,17,73.9,201,3,1,1,100.0,8,4,50.0,12,12,100.0,0,0,0,0,0
Óscar Mingueza,78,69,88.5,1275,331,9,6,66.7,39,36,92.3,29,27,93.1,0,2,0,0,2
Francisco Trincão,125,98,78.4,1318,316,9,5,55.6,27,22,81.5,75,68,90.7,2,3,2,0,8
Junior Firpo,29,29,100.0,416,130,0,0,,13,13,100.0,16,16,100.0,0,3,0,0,1
Carles Aleñá,30,29,96.7,576,134,7,7,100.0,11,11,100.0,12,11,91.7,0,2,0,0,5
Riqui Puig,10,9,90.0,220,49,3,2,66.7,6,6,100.0,1,1,100.0,0,3,1,0,1
