Player,Gls,xG,TotalS,TotalS/90,SonTar,SonT/90
Lionel Messi,1,3.3,27,4.50,12,2.00
Neto,0,0.0,0,0.00,0,0.00
Gerard Piqué,0,0.4,3,0.50,0,0.00
Frenkie de Jong,0,0.6,2,0.34,0,0.00
Sergio Busquets,0,0.0,0,0.00,0,0.00
Sergi Roberto,1,0.4,3,0.61,1,0.20
Jordi Alba,0,0.1,2,0.44,2,0.44
Ansu Fati,4,1.7,12,2.80,6,1.40
Antoine Griezmann,1,1.3,6,1.50,1,0.25
Clément Lenglet,0,0.0,0,0.00,0,0.00
Philippe Coutinho,1,1.2,11,2.97,4,1.08
Pedri,0,0.0,0,0.00,0,0.00
Sergiño Dest,0,0.1,2,0.83,1,0.41
Ousmane Dembélé,0,0.0,0,0.00,0,0.00
Ronald Araújo,0,0.0,0,0.00,0,0.00
Francisco Trincão,0,0.4,5,3.52,2,1.41
Miralem Pjanić,0,0.1,3,3.65,1,1.22
Martin Braithwaite,0,0.0,0,0.00,0,0.00
Riqui Puig,0,0.0,0,0.00,0,0.00
