player,opponent,start,position,minute,touch,pressure,xg,xa,sca,gca,sot,pass_pct,carries,prog_dis
Ousmane-Dembele,Villarreal,N,LW,21,17,3,0.0,0.0,2,0,0,91.7,14,69
Ousmane-Dembele,Celta Vigo,N,LW,61,44,10,0.0,0.0,1,0,0,84.4,39,250
Ousmane-Dembele,Sevilla,N,RW,28,22,2,0.5,0.3,2,2,1,77.8,16,130
Ousmane-Dembele,Getafe,Y,"DM,CM",9,12,0,0.0,0.0,0,0,0,66.7,11,66
Ousmane-Dembele,hu Ferencváros,N,RW,65,50,15,0.1,0.0,1,0,2,81.1,55,310
Ousmane-Dembele,Real Madrid,N,RW,45,29,2,0.0,0.0,0,0,0,78.3,29,170
Ousmane-Dembele,it Juventus,Y,"FW,LW",31,25,4,0.1,0.0,1,0,2,85.0,25,104
Ousmane-Dembele,Alavés,Y,RM,65,40,8,0.2,0.0,1,1,1,63.6,33,215
Ousmane-Dembele,ua Dynamo Kyiv,N,"RW,LM",90,64,24,0.1,0.2,4,0,0,83.0,46,202
Ousmane-Dembele,Betis,Y,"LW,CM",30,19,5,0.0,0.0,0,0,0,66.7,17,82
Ousmane-Dembele,Atlético Madrid,Y,"LW,FW",90,69,8,1.3,0.8,6,2,1,84.5,66,251
Ousmane-Dembele,ua Dynamo Kyiv,N,LW,45,40,1,0.0,0.3,2,0,0,81.6,36,139
