player,opponent,result,start,position,minute,touch,pressure,xg,xa,sca,gca,sot,pass_pct,pass_prog_dis,carries,dribble_prog_dis,dribble_attempt,dribble_suc
Antoine-Griezmann,se Sweden,W 1–0,Y,AM,90,,,,,,,0,,,,,,
Antoine-Griezmann,hr Croatia,W 4–2,Y,AM,76,,,,,,,2,,,,,,
Antoine-Griezmann,Villarreal,W 4–0,Y,RW,77,30,13,0.1,0.0,0,0,0,78.6,71,24,49,0,0
Antoine-Griezmann,Celta Vigo,W 3–0,Y,RW,44,26,9,0.0,0.0,0,0,0,90.5,50,19,31,0,0
Antoine-Griezmann,Sevilla,D 1–1,Y,RW,60,19,5,0.3,0.0,0,0,0,100.0,62,15,63,0,0
Antoine-Griezmann,ua Ukraine,W 7–1,N,,32,,,,,,,,,,,,,
Antoine-Griezmann,pt Portugal,D 0–0,Y,FW,90,,,,,,,1,,,,,,
Antoine-Griezmann,hr Croatia,W 2–1,Y,AM,82,,,,,,,1,,,,,,
Antoine-Griezmann,Getafe,L 0–1,Y,FW,79,38,6,0.5,0.0,0,0,0,78.8,62,25,40,1,1
Antoine-Griezmann,hu Ferencváros,W 5–1,N,"FW,CM",10,1,3,0.0,0.0,0,0,0,100.0,7,0,0,0,0
Antoine-Griezmann,Real Madrid,L 1–3,N,FW,88,55,16,0.3,0.4,2,0,0,78.7,49,37,41,3,1
Antoine-Griezmann,it Juventus,W 2–0,Y,FW,90,52,12,0.4,0.0,3,0,1,86.5,68,26,98,1,1
Antoine-Griezmann,Alavés,D 1–1,Y,FW,59,20,3,0.7,0.0,0,0,1,85.7,15,12,15,1,1
Antoine-Griezmann,ua Dynamo Kyiv,W 2–1,Y,FW,77,47,9,2.1,0.2,4,1,1,90.9,124,34,98,0,0
Antoine-Griezmann,Betis,W 5–2,Y,,34,,,,,,,,,,,,,
Antoine-Griezmann,fi Finland,L 0–2,N,FW,90,,,,,,,0,,,,,,
Antoine-Griezmann,pt Portugal,W 1–0,Y,FW,90,,,,,,,0,,,,,,
Antoine-Griezmann,se Sweden,W 4–2,Y,FW,82,31,9,0.2,0.0,2,0,1,91.3,19,20,17,2,1
Antoine-Griezmann,Atlético Madrid,L 0–1,Y,CM,25,24,2,0.3,0.0,3,0,2,94.7,53,13,12,0,0
Antoine-Griezmann,ua Dynamo Kyiv,W 4–0,N,"LW,AM",90,83,11,0.6,1.1,5,1,3,91.9,177,74,77,3,2
Antoine-Griezmann,Osasuna,W 4–0,Y,AM,64,58,17,0.2,0.5,2,0,1,94.3,99,54,53,0,0
Antoine-Griezmann,hu Ferencváros,W 3–0,Y,AM,90,57,8,0.4,0.1,4,0,1,84.0,103,44,74,0,0
Antoine-Griezmann,Cádiz,L 1–2,Y,"RW,FW",90,47,10,0.2,0.2,4,0,0,90.0,90,24,17,0,0
