Player,Position,Minute90,Attempt,Completed,Sucpct,Totaldist,Progdist,LongPass,LongComp,LongPct,MediPass,MediComp,MediPct,ShortPass,ShortComp,ShortPct,Keypass,Finalthird,Penalty,CrossPena,Progcount
Thibaut Courtois,GK,11.0,332,281,84.6,7048,3381,122,72,59.0,168,167,99.4,40,40,100.0,0,2,0,0,0
Raphaël Varane,DF,10.0,515,460,89.3,10234,3155,121,97,80.2,254,238,93.7,134,122,91.0,1,30,0,0,28
Karim Benzema,FW,8.8,299,252,84.3,3427,708,15,11,73.3,86,72,83.7,184,164,89.1,8,18,8,1,22
Luka Modrić,MF,8.8,588,518,88.1,9711,2577,99,76,76.8,227,203,89.4,247,232,93.9,15,50,18,5,57
Sergio Ramos,DF,7.5,552,511,92.6,12094,4271,150,136,90.7,240,231,96.3,153,141,92.2,2,70,2,1,42
Casemiro,MF,7.5,404,330,81.7,6710,1818,84,56,66.7,166,144,86.7,132,122,92.4,4,31,4,0,29
Toni Kroos,MF,6.5,512,451,88.1,9563,2768,130,96,73.8,172,162,94.2,202,191,94.6,21,56,9,1,38
Vinicius Júnior,FW,6.8,234,189,80.8,2788,607,19,8,42.1,75,63,84.0,129,116,89.9,8,6,8,2,14
Ferland Mendy,DF,6.7,360,323,89.7,5074,1431,33,21,63.6,139,129,92.8,177,167,94.4,4,15,5,1,19
Federico Valverde,MF,6.0,346,307,88.7,5199,1218,38,31,81.6,126,111,88.1,160,149,93.1,6,30,4,1,21
Lucas Vázquez,"DF,FW",5.8,338,282,83.4,4860,1677,46,31,67.4,120,103,85.8,155,140,90.3,10,19,16,8,31
Nacho,DF,5.5,251,224,89.2,4113,1433,42,26,61.9,104,101,97.1,98,93,94.9,1,11,2,0,16
Marco Asensio,FW,4.9,239,185,77.4,2947,693,37,19,51.4,68,56,82.4,115,103,89.6,6,13,7,1,13
Marcelo,DF,4.8,366,301,82.2,5102,1743,58,31,53.4,123,105,85.4,168,157,93.5,3,33,9,3,34
Isco,MF,3.4,240,203,84.6,3250,820,33,16,48.5,80,71,88.8,113,109,96.5,4,26,8,0,26
Dani Carvajal,DF,3.4,255,211,82.7,3911,1232,42,28,66.7,103,90,87.4,100,90,90.0,2,8,5,0,16
Martin Ødegaard,"MF,FW",2.5,171,144,84.2,2489,509,25,15,60.0,63,55,87.3,77,71,92.2,4,16,2,0,9
Eden Hazard,FW,1.7,85,71,83.5,1023,147,4,4,100.0,22,18,81.8,53,47,88.7,0,1,2,0,3
Rodrygo,FW,3.2,85,64,75.3,829,231,4,1,25.0,21,18,85.7,54,44,81.5,5,4,2,0,5
Mariano,FW,2.1,43,33,76.7,429,62,3,1,33.3,12,11,91.7,23,19,82.6,2,2,0,0,3
Luka Jović,"FW,MF",1.7,41,34,82.9,475,43,2,2,100.0,13,9,69.2,23,22,95.7,2,1,0,0,0
Éder Militão,DF,1.5,108,96,88.9,2141,633,30,22,73.3,43,42,97.7,33,31,93.9,0,5,0,0,4
Álvaro Odriozola,DF,0.6,41,36,87.8,756,181,7,6,85.7,19,18,94.7,12,11,91.7,0,0,2,0,3
Borja Mayoral,FW,0.3,5,3,60.0,55,0,1,0,0.0,3,2,66.7,1,1,100.0,0,0,0,0,0
Marvin Olawale Akinlabi Park,FW,0.2,13,10,76.9,140,31,2,0,0.0,4,3,75.0,7,7,100.0,0,1,0,0,2
Sergio Arribas,FW,0.0,2,2,100.0,9,1,0,0,,0,0,,0,0,,0,0,0,0,0
