player,press,switch,intercepted,blocked
Pierre Højbjerg,48,24,1,2
Hugo Lloris,14,1,0,0
Harry Kane,65,15,1,11
Son Heung-min,53,11,1,13
Eric Dier,45,25,2,6
Tanguy Ndombele,44,2,9,11
Moussa Sissoko,31,8,3,3
Sergio Reguilón,29,8,8,11
Toby Alderweireld,14,10,1,3
Matt Doherty,36,3,5,10
Ben Davies,22,5,3,13
Lucas Moura,27,1,4,10
Serge Aurier,14,2,6,6
Davinson Sánchez,16,9,0,4
Steven Bergwijn,16,1,3,1
Harry Winks,17,6,0,3
Érik Lamela,22,1,0,6
Giovani Lo Celso,23,5,2,6
Gareth Bale,8,2,0,2
Joe Rodon,4,0,0,1
Dele Alli,7,0,1,2
Carlos Vinícius,0,0,0,0
